Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Current Prices,..Yellowfin Tuna,767.50,935.68,1328.02,955.50,1703.18,3031.20,3986.69,828.32,995.76,1363.60,1031.32,1824.08,3187.68,4219.00,967.06,1210.43,1396.98,1066.51,2177.49,3574.48,4640.99,1069.46,1687.59,1748.19,1576.82,2757.05,4505.23,6082.06,1782.97,2068.29,2323.09,1968.57,3851.25,6174.34,8142.91,1833.05,2387.27,2607.07,1811.51,4220.32,6827.39,8638.90,1784.13,2392.02,2373.11,2583.19,4176.16,6549.27,9132.46,2176.29,3337.47,2397.96,2673.36,5513.77,7911.73,10585.08,2681.67,4070.36,2893.08,3344.90,6752.04,9645.12,12990.02,2987.96,3242.22,2559.35,3115.21,6230.18,8789.53,11904.74,2742.66,3228.83,3272.65,3145.22,5971.50,9244.15,12389.37,2540.27,3072.19,2528.16,3153.64,5612.46,8140.62,11294.26,2886.95,3578.82,3441.27,4210.42,6465.77,9907.04,14117.46,3684.28,3826.39,3640.74,3536.61,7510.67,11151.40,14688.01,3323.40,3652.04,3417.26,4278.69,6975.44,10392.70,14671.39,3190.91,4110.51,3587.97,3746.57,7301.42,10889.39,14635.96,2885.06,2926.93,2766.02,2402.28,5811.99,8578.00,10980.28,3845.76,2536.45,2345.86,2942.29,6382.20,8728.06,11670.35,2866.88,2465.65,2178.02,2533.41,5332.53,7510.55,10043.96,3316.20,3779.46,2415.16,3167.84,7095.66,9510.82,12678.66,2670.12,3084.56,2413.46,2703.29,5754.67,8168.13,10871.43,2283.45,2677.34,2443.28,2863.52,4960.79,7404.06,10267.59,2505.09,3837.09,3573.17,3885.05,6342.19,9915.36,13800.41,3624.25,2863.39,4168.42,3619.52,6487.64,10656.06,14275.58,3333.78,3420.47,3548.70,3480.91,6754.25,10302.95,13783.86,3656.05,3482.68,3606.19,4009.30,7138.74,10744.93,14754.23,3453.44,.,.,.,.,.,.
Current Prices,..Mudcrab,462.07,157.32,203.85,126.54,619.39,823.23,949.77,365.43,149.66,201.24,159.83,515.09,716.33,876.15,429.90,259.90,197.67,152.80,689.79,887.46,1040.26,384.15,284.29,249.55,181.64,668.44,917.99,1099.63,529.91,351.26,379.38,376.79,881.17,1260.55,1637.34,562.99,355.35,379.64,458.38,918.34,1297.98,1756.35,663.03,439.23,425.70,562.65,1102.25,1527.96,2090.61,862.85,583.38,467.20,495.74,1446.23,1913.43,2409.17,892.64,630.14,668.68,841.45,1522.78,2191.46,3032.91,969.10,751.05,747.42,1331.32,1720.15,2467.57,3798.89,983.25,793.92,949.20,1306.91,1777.17,2726.37,4033.29,988.53,1047.85,973.02,1535.83,2036.38,3009.40,4545.23,1019.43,1012.52,1003.40,1974.31,2031.95,3035.35,5009.66,1187.90,1057.13,1148.86,1567.15,2245.03,3393.89,4961.04,1188.50,1110.40,1246.48,1799.21,2298.90,3545.38,5344.59,1202.54,1282.89,1338.71,1730.89,2485.43,3824.14,5555.02,1345.59,1614.23,1486.64,2038.47,2959.82,4446.46,6484.93,1718.71,1693.52,1741.25,2339.71,3412.23,5153.48,7493.19,2989.19,1747.17,1865.11,2680.80,4736.36,6601.47,9282.27,2964.01,1889.99,1939.30,2824.05,4854.01,6793.31,9617.36,3241.06,1907.85,1656.62,2573.89,5148.92,6805.54,9379.43,4951.97,2111.42,2470.66,2995.20,7063.38,9534.04,12529.24,2371.31,1885.44,1548.35,2227.74,4256.75,5805.09,8032.83,2038.85,1763.35,1411.32,2554.14,3802.19,5213.51,7767.65,1423.60,1358.81,1229.72,1762.99,2782.41,4012.13,5775.13,1419.73,1222.73,958.49,1158.85,2642.47,3600.95,4759.80,1060.33,.,.,.,.,.,.
Current Prices,..Frigate Tuna,952.92,991.65,1420.50,1353.89,1944.56,3365.07,4718.96,1029.02,1055.44,1458.48,1448.99,2084.46,3542.93,4991.93,1193.48,1284.95,1494.14,1503.44,2478.44,3972.57,5476.01,1541.51,1753.72,1605.22,1397.46,3295.22,4900.44,6297.90,1867.97,2011.17,2137.06,1823.20,3879.14,6016.20,7839.40,1790.52,1904.64,1825.54,1658.50,3695.16,5520.70,7179.19,1963.03,2273.18,1673.13,1761.35,4236.21,5909.35,7670.70,2487.67,2649.83,1761.89,1632.11,5137.50,6899.39,8531.50,2237.08,2621.39,1929.92,1608.50,4858.47,6788.39,8396.89,2371.17,2427.97,2245.79,1829.93,4799.14,7044.93,8874.86,2187.48,2538.53,2017.71,1894.06,4726.01,6743.71,8637.77,2276.79,2302.14,1864.27,1874.50,4578.93,6443.20,8317.70,2297.23,2375.40,2021.58,2145.19,4672.64,6694.22,8839.41,2241.25,2696.62,2149.11,1998.70,4937.87,7086.99,9085.69,2276.10,2652.15,2052.93,1972.56,4928.25,6981.18,8953.74,2186.88,2996.46,2119.06,2181.86,5183.33,7302.39,9484.25,2289.07,2666.81,2053.90,1842.99,4955.88,7009.77,8852.76,2220.33,2456.12,1985.90,1800.48,4676.45,6662.34,8462.82,2023.72,2503.85,2238.41,1984.31,4527.57,6765.97,8750.28,2027.70,2834.79,2066.00,2043.53,4862.48,6928.49,8972.01,2127.18,2500.76,2225.76,2080.11,4627.93,6853.69,8933.80,1984.47,2415.41,1957.51,1965.61,4399.88,6357.39,8323.00,2087.60,2622.00,2435.26,2395.25,4709.60,7144.86,9540.11,2102.28,2383.50,2462.46,2411.73,4485.78,6948.25,9359.98,2642.43,2932.23,2363.42,1998.45,5574.66,7938.08,9936.53,2319.54,2592.45,2322.92,2240.70,4911.99,7234.92,9475.61,2454.21,.,.,.,.,.,.
Current Prices,..Big-eyed Scad,743.17,787.19,1008.75,817.60,1530.36,2539.11,3356.71,800.80,836.99,1031.94,871.67,1637.79,2669.73,3541.40,952.26,1005.63,1055.38,905.80,1957.89,3013.28,3919.07,1097.45,1189.99,1138.63,955.89,2287.44,3426.08,4381.97,1162.19,1264.92,1240.57,959.47,2427.11,3667.68,4627.15,1166.00,1039.27,1014.65,977.61,2205.27,3219.92,4197.53,1187.87,1098.79,1045.56,1084.59,2286.66,3332.23,4416.82,1234.84,1344.05,1160.36,1077.40,2578.89,3739.25,4816.64,1490.61,1353.52,1392.07,1299.78,2844.13,4236.20,5535.98,1517.01,1361.78,1592.08,1739.29,2878.79,4470.87,6210.16,1734.79,1708.75,1795.81,1692.09,3443.55,5239.35,6931.44,1780.29,1708.60,2048.53,1800.47,3488.89,5537.43,7337.89,1780.26,1777.73,1903.05,1943.83,3557.99,5461.04,7404.87,1986.39,1831.72,1876.03,1964.89,3818.11,5694.14,7659.03,1918.51,2027.99,1950.85,1755.04,3946.50,5897.35,7652.39,1776.27,1997.59,2167.92,1714.33,3773.86,5941.78,7656.12,1590.59,1829.10,2461.40,1818.33,3419.69,5881.10,7699.42,1688.28,1893.74,2141.06,2063.18,3582.02,5723.08,7786.26,1912.71,2298.96,2309.53,2152.61,4211.67,6521.20,8673.81,1958.74,2382.69,2128.38,2396.67,4341.43,6469.81,8866.48,2125.38,2068.20,2111.71,2501.03,4193.58,6305.29,8806.31,2343.80,2415.88,2697.85,2581.69,4759.67,7457.52,10039.21,2399.80,3657.65,2915.17,3686.88,6057.45,8972.62,12659.50,3332.02,3512.08,3942.93,3578.69,6844.10,10787.04,14365.72,3015.47,2886.20,2940.36,2934.21,5901.67,8842.03,11776.24,3611.06,3285.20,3144.04,2867.63,6896.26,10040.30,12907.92,2649.38,.,.,.,.,.,.
Current Prices,..Bali Sardinella,494.73,790.08,975.84,1072.33,1284.82,2260.66,3332.99,534.60,841.74,1004.04,1157.50,1376.33,2380.37,3537.88,615.23,1037.94,1029.59,1196.97,1653.17,2682.76,3879.73,539.00,778.49,807.27,1062.46,1317.50,2124.76,3187.23,659.64,863.51,1140.60,997.57,1523.15,2663.75,3661.32,1020.89,1157.07,967.03,856.93,2177.95,3144.98,4001.91,824.75,1592.03,1087.17,963.90,2416.78,3503.96,4467.86,833.96,1408.60,834.71,1206.54,2242.55,3077.27,4283.81,1319.01,1664.04,1575.15,1287.69,2983.05,4558.20,5845.89,1727.81,2698.17,1393.33,1296.81,4425.98,5819.31,7116.13,1555.29,2976.44,1657.63,1434.25,4531.73,6189.36,7623.61,995.42,2705.82,1901.41,1453.11,3701.24,5602.65,7055.77,1004.60,2588.56,1851.07,1552.61,3593.16,5444.22,6996.84,1070.80,2529.52,1717.14,1089.49,3600.32,5317.46,6406.95,983.75,2583.23,2120.11,1364.45,3566.98,5687.10,7051.55,1070.07,2903.25,2445.98,1244.98,3973.32,6419.30,7664.28,1191.55,2209.32,2038.51,1117.09,3400.87,5439.38,6556.47,1166.99,2375.66,1693.25,1157.45,3542.65,5235.91,6393.36,1254.39,2567.03,2027.45,1286.97,3821.42,5848.87,7135.84,1136.47,2336.64,2126.59,1402.30,3473.11,5599.70,7001.99,1374.57,2763.06,2721.11,1671.26,4137.62,6858.74,8530.00,1558.15,3243.81,2751.55,1678.25,4801.96,7553.51,9231.77,1712.82,3634.65,2798.46,1692.71,5347.47,8145.94,9838.65,2445.83,3586.98,3271.59,2106.97,6032.81,9304.39,11411.36,1803.37,3607.42,3040.68,1767.86,5410.79,8451.47,10219.33,1693.64,2591.20,2180.12,1574.94,4284.84,6464.96,8039.90,1492.81,.,.,.,.,.,.
Current Prices,..Squid,540.51,591.32,604.97,517.88,1131.83,1736.80,2254.68,581.49,628.52,618.92,553.91,1210.01,1828.93,2382.84,704.28,751.93,633.00,574.87,1456.21,2089.20,2664.07,708.97,794.96,660.76,559.01,1503.93,2164.69,2723.70,819.80,1002.08,783.06,610.97,1821.88,2604.95,3215.92,928.15,985.00,840.71,716.37,1913.14,2753.85,3470.22,833.62,1085.51,849.93,721.52,1919.13,2769.05,3490.57,880.01,1172.70,1094.94,958.90,2052.71,3147.65,4106.55,1010.39,1283.53,931.44,891.06,2293.92,3225.36,4116.42,1115.32,1191.43,960.02,947.54,2306.76,3266.78,4214.32,1071.45,1377.15,903.22,985.20,2448.60,3351.82,4337.02,1142.80,1517.11,931.09,1075.13,2659.91,3591.00,4666.12,1096.13,1382.74,1108.90,1084.88,2478.86,3587.76,4672.64,1199.03,1364.73,1140.76,1243.39,2563.76,3704.53,4947.92,1220.49,1514.44,1119.88,1378.06,2734.93,3854.81,5232.87,1268.21,1416.93,1130.50,1173.02,2685.14,3815.64,4988.66,1350.69,1463.21,1094.66,1122.27,2813.90,3908.56,5030.83,1360.38,1430.89,1207.42,1309.90,2791.27,3998.69,5308.59,1244.29,1596.40,1322.73,1472.55,2840.69,4163.42,5635.97,1259.58,1800.47,1266.70,1451.41,3060.05,4326.75,5778.16,1399.88,1534.20,1272.93,1400.31,2934.08,4207.01,5607.32,1365.59,1696.64,1496.52,1602.50,3062.23,4558.75,6161.25,1597.16,2647.51,2406.98,1961.07,4244.67,6651.65,8612.72,2387.31,2262.95,1870.48,1746.86,4650.26,6520.74,8267.61,2049.27,2211.48,1935.22,1675.62,4260.75,6195.97,7871.58,2266.38,2489.82,2060.10,2177.97,4756.20,6816.29,8994.27,2173.54,.,.,.,.,.,.
Current Prices,..Blue Crab,302.15,367.63,433.27,339.33,669.78,1103.06,1442.39,324.22,390.17,441.69,357.53,714.39,1156.08,1513.61,404.10,457.43,450.98,373.27,861.53,1312.52,1685.79,450.78,504.61,472.76,335.78,955.39,1428.15,1763.94,494.29,617.96,543.23,358.49,1112.25,1655.47,2013.97,479.08,749.12,703.76,667.16,1228.20,1931.96,2599.12,502.25,584.61,685.55,691.28,1086.86,1772.41,2463.69,549.73,713.82,764.55,735.11,1263.55,2028.10,2763.21,664.22,767.74,867.43,745.86,1431.96,2299.39,3045.26,721.20,847.69,643.30,604.64,1568.90,2212.19,2816.84,604.19,894.61,682.00,647.68,1498.80,2180.81,2828.49,585.51,1035.26,709.95,683.16,1620.76,2330.71,3013.87,466.04,777.46,755.23,879.94,1243.50,1998.73,2878.66,645.51,750.51,776.77,677.17,1396.03,2172.80,2849.97,578.28,896.71,873.00,786.38,1474.99,2347.99,3134.38,637.69,800.29,780.50,652.76,1437.98,2218.48,2871.24,639.40,873.18,739.83,789.76,1512.58,2252.41,3042.18,752.74,1200.26,1323.46,1051.45,1953.00,3276.47,4327.91,901.71,1428.33,1820.52,1425.41,2330.04,4150.56,5575.97,901.78,1356.17,1277.20,1019.86,2257.95,3535.14,4555.01,1043.71,1059.70,1588.28,755.78,2103.41,3691.69,4447.47,1021.06,1679.06,1454.39,1538.83,2700.12,4154.51,5693.34,1212.24,1299.59,1045.67,1128.00,2511.83,3557.50,4685.50,1207.77,975.49,903.60,835.02,2183.26,3086.86,3921.88,813.33,1114.97,814.95,843.37,1928.30,2743.25,3586.62,990.70,886.17,1042.68,927.04,1876.86,2919.55,3846.59,877.53,.,.,.,.,.,.
Current Prices,..Bigeye Tuna,130.18,112.45,100.44,198.60,242.62,343.07,541.67,140.49,119.67,103.13,214.36,260.16,363.30,577.66,164.03,145.47,105.66,221.68,309.49,415.15,636.83,181.39,202.81,132.22,327.75,384.20,516.43,844.17,302.41,248.56,175.70,409.18,550.97,726.68,1135.85,310.91,286.89,320.32,376.53,597.80,918.12,1294.65,480.51,435.19,537.83,539.23,915.70,1453.53,1992.76,658.91,755.98,586.51,514.09,1414.89,2001.40,2515.49,668.38,671.36,649.64,568.07,1339.75,1989.39,2557.46,154.90,191.54,115.69,104.97,346.44,462.13,567.09,262.91,259.02,258.45,252.31,521.93,780.38,1032.69,235.17,279.37,241.39,224.39,514.53,755.93,980.32,350.02,386.51,319.00,393.78,736.53,1055.53,1449.30,320.62,403.26,319.56,463.30,723.88,1043.44,1506.74,300.85,356.62,352.27,383.38,657.46,1009.73,1393.12,302.57,335.64,316.55,352.48,638.21,954.77,1307.24,398.16,486.12,583.10,526.17,884.27,1467.37,1993.55,701.87,1249.40,1236.49,1052.62,1951.27,3187.76,4240.38,1274.04,1376.56,1442.99,1383.03,2650.59,4093.58,5476.62,494.78,629.00,749.08,657.87,1123.78,1872.86,2530.73,505.36,570.77,878.09,586.73,1076.13,1954.22,2540.96,543.45,662.90,651.66,683.06,1206.35,1858.01,2541.07,621.71,1251.65,991.15,384.76,1873.36,2864.51,3249.27,392.12,570.73,626.91,808.80,962.85,1589.76,2398.57,684.73,1227.63,841.98,670.35,1912.36,2754.35,3424.69,578.81,799.27,1056.98,653.83,1378.08,2435.06,3088.90,634.82,.,.,.,.,.,.
Current Prices,..Grouper,181.42,204.94,218.11,164.43,386.37,604.48,768.91,198.97,215.19,223.13,165.67,414.16,637.29,802.96,237.13,248.79,236.38,174.72,485.92,722.30,897.02,249.43,350.77,219.33,216.90,600.20,819.53,1036.43,286.82,369.96,225.43,304.49,656.78,882.21,1186.69,282.32,475.90,305.96,353.59,758.22,1064.18,1417.77,319.39,649.78,364.97,370.66,969.17,1334.15,1704.81,407.96,790.36,421.54,446.37,1198.32,1619.86,2066.23,377.66,758.52,463.97,3772.93,1136.17,1600.14,5373.08,785.96,1652.41,509.59,622.11,2438.38,2947.96,3570.07,446.11,658.33,480.09,566.11,1104.44,1584.53,2150.64,411.22,723.85,468.49,580.39,1135.07,1603.56,2183.94,515.20,734.50,518.47,609.41,1249.70,1768.17,2377.57,499.15,676.54,537.79,579.50,1175.69,1713.48,2292.98,557.21,680.85,576.38,555.76,1238.07,1814.45,2370.21,543.21,739.19,616.78,564.32,1282.40,1899.18,2463.49,566.83,702.93,575.97,616.44,1269.76,1845.74,2462.18,613.92,728.48,643.71,608.33,1342.41,1986.11,2594.44,584.11,674.25,2577.39,823.32,1258.36,3835.75,4659.07,728.10,909.58,997.44,830.99,1637.68,2635.12,3466.12,786.45,853.24,2023.55,762.13,1639.69,3663.25,4425.38,703.64,1042.53,1110.21,968.90,1746.17,2856.38,3825.28,761.13,1556.71,1035.69,842.81,2317.85,3353.54,4196.35,820.27,1362.86,983.03,777.07,2183.13,3166.16,3943.23,740.72,833.68,721.99,658.56,1574.40,2296.39,2954.95,763.79,1194.91,826.77,714.45,1958.70,2785.47,3499.92,780.91,.,.,.,.,.,.
Current Prices,..Indian Mackerel,502.87,516.77,882.58,700.86,1019.64,1902.23,2603.09,542.37,549.49,904.89,746.90,1091.86,1996.75,2743.65,638.09,660.68,926.41,776.27,1298.77,2225.17,3001.44,828.97,744.74,1012.21,848.88,1573.70,2585.91,3434.79,950.91,771.47,1024.06,871.48,1722.39,2746.45,3617.92,842.05,892.46,1396.27,1036.23,1734.51,3130.79,4167.01,1078.93,965.37,1759.08,1013.13,2044.30,3803.38,4816.51,1142.87,1267.34,1071.99,1026.07,2410.21,3482.20,4508.27,1262.98,1346.72,1120.75,1201.50,2609.70,3730.45,4931.95,1228.81,1114.56,1252.74,1092.73,2343.37,3596.11,4688.84,1136.55,1512.30,1354.02,1242.18,2648.85,4002.88,5245.06,1172.81,1435.13,1308.62,1261.82,2607.94,3916.56,5178.38,1168.46,1476.82,1355.76,1220.59,2645.28,4001.03,5221.62,1429.30,1554.96,1332.82,1446.87,2984.26,4317.07,5763.94,1209.54,1552.67,1198.37,1463.27,2762.21,3960.58,5423.84,1135.52,1385.61,1310.04,1493.94,2521.13,3831.17,5325.11,764.57,1252.79,1178.77,1219.64,2017.36,3196.13,4415.76,1017.93,1374.62,1033.33,1074.94,2392.55,3425.88,4500.82,879.00,1410.56,1101.29,1204.37,2289.55,3390.84,4595.21,1198.09,1573.26,1197.03,1319.52,2771.35,3968.39,5287.91,1151.98,1189.24,1230.43,1400.33,2341.22,3571.65,4971.98,1247.40,1292.33,1161.30,1335.87,2539.73,3701.03,5036.89,1275.85,1445.61,1247.05,1093.87,2721.46,3968.51,5062.38,1296.59,1396.16,2051.98,1606.82,2692.75,4744.74,6351.56,1133.41,1239.19,1444.91,1341.34,2372.60,3817.51,5158.85,1421.59,1738.45,1550.20,1493.79,3160.04,4710.23,6204.03,1305.94,.,.,.,.,.,.
Current Prices,..Threadfin Bream,340.41,425.10,814.50,484.56,765.51,1580.01,2064.57,365.76,451.60,832.18,515.04,817.37,1649.55,2164.59,449.13,536.44,850.58,535.85,985.57,1836.15,2371.99,487.34,631.69,516.90,509.61,1119.03,1635.93,2145.54,536.57,725.68,577.12,540.93,1262.25,1839.37,2380.31,538.27,813.76,812.83,692.16,1352.03,2164.86,2857.02,703.53,971.26,966.29,719.56,1674.79,2641.08,3360.65,676.66,1088.04,969.04,860.01,1764.70,2733.74,3593.75,838.59,1061.63,927.76,743.95,1900.22,2827.98,3571.92,871.14,849.63,820.48,802.89,1720.78,2541.26,3344.15,730.04,875.15,826.35,827.87,1605.19,2431.54,3259.41,748.74,1068.81,907.81,856.16,1817.54,2725.35,3581.51,865.27,1053.24,867.73,955.27,1918.50,2786.24,3741.50,799.95,1014.29,859.98,847.09,1814.25,2674.23,3521.32,781.09,936.01,878.33,822.77,1717.10,2595.43,3418.20,783.10,911.06,986.35,835.02,1694.16,2680.51,3515.53,868.46,894.98,971.88,1051.17,1763.44,2735.32,3786.49,1006.27,1036.09,1062.53,870.97,2042.36,3104.89,3975.87,1023.41,1094.82,1137.25,1147.96,2118.24,3255.49,4403.45,1283.44,1370.60,1339.32,1485.18,2654.04,3993.36,5478.53,1402.51,1233.74,1418.30,1237.77,2636.25,4054.55,5292.31,1098.11,1082.60,1300.19,1481.09,2180.71,3480.90,4961.99,1807.55,1147.50,1261.84,1156.73,2955.04,4216.88,5373.61,1570.29,1153.85,1114.08,800.98,2724.14,3838.22,4639.19,852.49,1106.93,1332.48,861.50,1959.42,3291.90,4153.40,862.90,1175.14,1037.63,803.26,2038.04,3075.67,3878.92,938.89,.,.,.,.,.,.
Current Prices,..Slipmouth,384.31,425.42,443.22,543.23,809.73,1252.96,1796.18,415.22,452.75,454.44,581.54,867.97,1322.41,1903.94,478.60,550.54,465.25,603.33,1029.14,1494.39,2097.72,560.05,632.03,495.79,511.05,1192.08,1687.87,2198.92,527.59,671.20,537.06,681.55,1198.79,1735.85,2417.40,599.31,631.06,563.69,608.99,1230.38,1794.07,2403.06,517.14,679.67,535.19,559.92,1196.81,1732.00,2291.93,522.81,683.90,540.62,595.67,1206.70,1747.32,2342.99,585.54,766.45,560.93,577.57,1351.99,1912.91,2490.49,564.59,672.04,666.40,610.31,1236.63,1903.03,2513.33,697.17,786.40,652.49,687.24,1483.58,2136.06,2823.30,715.87,815.84,734.94,752.38,1531.71,2266.65,3019.03,619.88,832.45,698.87,734.46,1452.33,2151.20,2885.65,600.03,797.93,696.68,660.40,1397.96,2094.64,2755.05,635.24,729.92,769.85,693.80,1365.16,2135.01,2828.82,597.09,733.65,743.02,615.21,1330.74,2073.76,2688.97,618.40,621.85,722.51,636.83,1240.25,1962.76,2599.59,665.34,650.62,703.16,665.34,1315.96,2019.12,2684.46,600.30,711.18,810.41,871.52,1311.49,2121.90,2993.42,631.81,768.97,782.13,828.51,1400.78,2182.91,3011.42,542.27,640.68,725.17,721.17,1182.95,1908.11,2629.28,681.90,714.89,597.99,778.99,1396.79,1994.78,2773.77,690.48,762.17,817.29,669.29,1452.65,2269.94,2939.23,574.33,751.00,688.77,516.79,1325.33,2014.11,2530.89,416.67,422.28,502.36,452.97,838.95,1341.32,1794.29,466.58,552.37,514.12,431.88,1018.95,1533.07,1964.95,462.26,.,.,.,.,.,.
Current Prices,..Cavalla,144.59,144.07,137.30,172.96,288.65,425.96,598.91,155.30,153.00,140.19,183.45,308.30,448.48,631.94,191.48,180.91,143.24,191.02,372.39,515.63,706.65,220.66,251.85,185.21,187.48,472.51,657.72,845.20,269.34,276.19,205.27,213.20,545.54,750.80,964.00,244.69,329.36,275.92,273.84,574.05,849.97,1123.81,333.42,426.96,312.95,328.11,760.38,1073.33,1401.44,416.83,529.67,381.84,380.49,946.50,1328.35,1708.84,468.72,676.30,540.89,491.36,1145.02,1685.92,2177.27,501.12,565.17,484.87,498.00,1066.29,1551.16,2049.15,432.62,705.33,604.03,739.78,1137.96,1741.98,2481.76,489.13,885.89,635.66,781.52,1375.03,2010.69,2792.20,608.62,772.25,644.63,819.43,1380.87,2025.50,2844.93,731.49,827.12,697.16,559.56,1558.61,2255.77,2815.32,653.32,855.52,622.66,562.69,1508.84,2131.50,2694.19,651.69,876.66,683.00,714.56,1528.35,2211.35,2925.91,528.72,757.40,660.34,670.70,1286.12,1946.46,2617.16,588.95,747.88,649.54,622.69,1336.83,1986.37,2609.06,659.75,760.50,740.59,760.88,1420.25,2160.84,2921.72,812.54,826.37,725.39,796.98,1638.91,2364.29,3161.27,821.46,908.04,873.58,853.16,1729.50,2603.08,3456.23,939.17,1057.41,1128.62,1146.75,1996.58,3125.20,4271.95,904.34,929.98,1230.69,751.09,1834.32,3065.00,3816.09,844.23,999.81,933.63,744.13,1844.04,2777.67,3521.80,766.57,791.18,708.37,533.61,1557.74,2266.11,2799.73,757.85,955.90,667.96,744.20,1713.75,2381.71,3125.92,793.72,.,.,.,.,.,.
Current Prices,..Fimbriated Sardines,273.69,248.39,354.50,294.84,522.08,876.58,1171.42,295.33,264.15,364.01,317.26,559.48,923.49,1240.75,345.51,318.13,372.93,328.48,663.64,1036.57,1365.05,349.37,347.45,315.31,334.70,696.81,1012.13,1346.82,409.30,401.53,401.72,372.77,810.83,1212.55,1585.32,423.09,517.21,409.00,410.71,940.30,1349.30,1760.02,461.46,581.85,443.58,527.80,1043.31,1486.89,2014.69,556.15,645.04,476.56,636.20,1201.19,1677.75,2313.95,855.29,1028.50,626.83,776.47,1883.80,2510.63,3287.11,1040.27,1074.73,815.00,906.26,2115.00,2930.00,3836.25,899.55,846.77,621.34,623.87,1746.32,2367.66,2991.53,848.95,884.66,690.12,727.95,1733.61,2423.73,3151.68,866.28,903.72,744.08,742.69,1770.00,2514.08,3256.77,882.19,845.66,795.04,698.39,1727.85,2522.89,3221.27,850.38,868.41,1000.29,847.88,1718.79,2719.08,3566.96,863.14,781.01,709.29,662.53,1644.16,2353.45,3015.98,642.79,678.25,688.51,666.08,1321.04,2009.55,2675.63,674.53,699.26,685.67,631.31,1373.79,2059.46,2690.77,671.89,719.99,626.92,719.09,1391.88,2018.80,2737.90,636.24,720.08,598.18,483.65,1356.33,1954.51,2438.16,523.19,469.54,482.70,377.88,992.72,1475.42,1853.30,397.87,481.20,523.52,425.27,879.07,1402.59,1827.86,435.01,726.11,792.07,560.81,1161.12,1953.19,2514.00,565.30,557.13,485.22,377.15,1122.43,1607.64,1984.80,576.66,427.18,413.19,335.58,1003.83,1417.02,1752.61,573.64,607.33,488.68,556.39,1180.97,1669.65,2226.03,678.87,.,.,.,.,.,.
